Country,Immigration
Burundi,321018
Comoros,12504
Djibouti,115341
Eritrea,16101
Ethiopia,1253083
Kenya,1044854
Madagascar,34934
Malawi,247652
Mauritius,28849
Mayotte,74643
Mozambique,334665
Réunion,129153
Rwanda,539932
Seychelles,12926
Somalia,52131
South Sudan,865552
Uganda,1734166
United Republic of Tanzania,509166
Zambia,170249
Zimbabwe,411257
Angola,669479
Cameroon,505692
Central African Republic,90649
Chad,512230
Congo,402142
Democratic Republic of the Congo,963833
Equatorial Guinea,227617
Gabon,411463
Sao Tome and Principe,2174
Botswana,110596
Eswatini,32310
Lesotho,6928
Namibia,107561
South Africa,4224256
Benin,390112
Burkina Faso,718338
Cabo Verde,15664
Côte d'Ivoire,2549141
Gambia,215406
Ghana,466780
Guinea,120642
Guinea-Bissau,26916
Liberia,94448
Mali,468230
Mauritania,172987
Niger,294161
Nigeria,1256408
Saint Helena,433
Senegal,275239
Sierra Leone,54332
Togo,279142
Algeria,249075
Egypt,504053
Libya,818216
Morocco,98574
Sudan,1223092
Tunisia,57455
Western Sahara,5384
Armenia,190159
Azerbaijan,253887
Bahrain,741161
Cyprus,191922
Georgia,79035
Iraq,368062
Israel,1956346
Jordan,3346703
Kuwait,3034845
Lebanon,1863873
Oman,2286226
Qatar,2229688
Saudi Arabia,13122338
State of Palestine,253735
Syrian Arab Republic,867848
Turkey,5876829
United Arab Emirates,8587256
Yemen,385628
Kazakhstan,3705556
Kyrgyzstan,200260
Tajikistan,274071
Turkmenistan,195127
Uzbekistan,1168384
Afghanistan,149762
Bangladesh,2185613
Bhutan,53254
India,5154737
Iran (Islamic Republic of),2682214
Maldives,69249
Nepal,490802
Pakistan,3257978
Sri Lanka,40018
China,1030871
"China, Hong Kong SAR",2942254
"China, Macao SAR",399572
Dem. People's Republic of Korea,49393
Japan,2498891
Mongolia,21128
Republic of Korea,1163655
Brunei Darussalam,110641
Cambodia,78649
Indonesia,353135
Lao People's Democratic Republic,48275
Malaysia,3430380
Myanmar,75998
Philippines,218530
Singapore,2155653
Thailand,3635085
Timor-Leste,8417
Viet Nam,76104
Anguilla,5679
Antigua and Barbuda,29207
Aruba,36532
Bahamas,62962
Barbados,34807
British Virgin Islands,20778
"Bonaire, Sint Eustatius and Saba",15484
Cayman Islands,28985
Cuba,4886
Curaçao,40883
Dominica,8264
Dominican Republic,567648
Grenada,7124
Guadeloupe,100030
Haiti,18756
Jamaica,23468
Martinique,61647
Montserrat,1375
Puerto Rico,266828
Saint Kitts and Nevis,7587
Saint Lucia,8383
Saint Vincent and the Grenadines,4692
Sint Maarten (Dutch part),28260
Trinidad and Tobago,59249
Turks and Caicos Islands,24534
United States Virgin Islands,56745
Belize,59998
Costa Rica,417768
El Salvador,42617
Guatemala,80421
Honduras,38933
Mexico,1060707
Nicaragua,42172
Panama,185072
Argentina,2212879
Bolivia (Plurinational State of),156114
Brazil,807006
Chile,939992
Colombia,1142319
Ecuador,381507
Falkland Islands (Malvinas),1902
French Guiana,117372
Guyana,15699
Paraguay,160519
Peru,782169
Suriname,46157
Uruguay,81482
Venezuela (Bolivarian Republic of),1375690
Australia,7549270
New Zealand,1068739
Fiji,14038
New Caledonia,72537
Papua New Guinea,31212
Solomon Islands,2532
Vanuatu,3245
Guam,79846
Kiribati,3022
Marshall Islands,3296
Micronesia (Fed. States of),2819
Nauru,2114
Northern Mariana Islands,21815
Palau,5066
American Samoa,23539
Cook Islands,3491
French Polynesia,31205
Niue,588
Samoa,4035
Tokelau,504
Tonga,3752
Tuvalu,238
Wallis and Futuna Islands,1022
Belarus,1069395
Bulgaria,168516
Czechia,512705
Hungary,512043
Poland,655985
Republic of Moldova,104713
Romania,462552
Russian Federation,11640559
Slovakia,187984
Ukraine,4964293
Channel Islands,83833
Denmark,722878
Estonia,190242
Faroe Islands,6454
Finland,383116
Iceland,52404
Ireland,833564
Isle of Man,42864
Latvia,237266
Lithuania,117218
Norway,867765
Sweden,2005210
United Kingdom,9552110
Albania,49160
Andorra,45102
Bosnia and Herzegovina,35735
Croatia,518083
Gibraltar,11172
Greece,1211382
Holy See,799
Italy,6273722
Malta,84949
Montenegro,70967
North Macedonia,131175
Portugal,888162
San Marino,5507
Serbia,820312
Slovenia,253122
Spain,6104203
Austria,1779857
Belgium,1981919
France,8334875
Germany,13132146
Liechtenstein,25467
Luxembourg,291723
Monaco,26511
Netherlands,2282791
Switzerland,2572029
Bermuda,19336
Canada,7960657
Greenland,5690
Saint Pierre and Miquelon,990
United States of America,50661149
